DepartmentID,Location
6000358,Westside Medical Center
6001457,Northside Specialty Clinic
6001590,Downtown Clinic
6002578,Riverside Health Complex
6003155,Westside Medical Center
6006427,Southside Family Clinic
6007199,Riverside Health Complex
6007250,Northside Specialty Clinic
6009282,Downtown Clinic
6012059,Main Campus
6012352,Riverside Health Complex
6013844,Downtown Clinic
6017164,Downtown Clinic
6017684,Southside Family Clinic
6017752,Northside Specialty Clinic
6018110,Northside Specialty Clinic
6019062,Northside Specialty Clinic
6025262,Northside Specialty Clinic
6027250,Main Campus
6028623,Northside Specialty Clinic
6029780,Downtown Clinic
6030480,Northside Specialty Clinic
6032991,Westside Medical Center
6036436,Westside Medical Center
6038372,Downtown Clinic
6040596,Riverside Health Complex
6043067,Main Campus
6044794,Main Campus
6045577,Westside Medical Center
6046338,Northside Specialty Clinic
6051922,Downtown Clinic
6052036,Northside Specialty Clinic
6053642,Northside Specialty Clinic
6054748,Riverside Health Complex
6055905,Main Campus
6056716,Downtown Clinic
6058254,Riverside Health Complex
6060338,Main Campus
6060647,Westside Medical Center
6062208,Northside Specialty Clinic
6064400,Southside Family Clinic
6066257,Westside Medical Center
6072549,Riverside Health Complex
6073204,Downtown Clinic
6075306,Downtown Clinic
6078593,Main Campus
6079777,Downtown Clinic
6081748,Southside Family Clinic
6087514,Riverside Health Complex
6087553,Westside Medical Center
6087640,Westside Medical Center
6087898,Southside Family Clinic
6091687,Downtown Clinic
6092133,Southside Family Clinic
6095099,Downtown Clinic
6097859,Northside Specialty Clinic
6101964,Northside Specialty Clinic
6103106,Downtown Clinic
6106509,Southside Family Clinic
6107031,Westside Medical Center
6107633,Main Campus
6113747,Northside Specialty Clinic
6121508,Southside Family Clinic
6123293,Riverside Health Complex
6125570,Westside Medical Center
6126526,Downtown Clinic
6135358,Southside Family Clinic
6135423,Southside Family Clinic
6135577,Downtown Clinic
6140014,Downtown Clinic
6140495,Riverside Health Complex
6141236,Riverside Health Complex
6141408,Main Campus
6145152,Southside Family Clinic
6146124,Northside Specialty Clinic
6146160,Westside Medical Center
6146204,Downtown Clinic
6147625,Northside Specialty Clinic
6147974,Downtown Clinic
6148922,Westside Medical Center
6151754,Downtown Clinic
6152161,Northside Specialty Clinic
6153336,Main Campus
6153441,Riverside Health Complex
6155710,Riverside Health Complex
6156477,Riverside Health Complex
6156540,Main Campus
6158434,Westside Medical Center
6161324,Main Campus
6163853,Westside Medical Center
6165498,Downtown Clinic
6166794,Southside Family Clinic
6167190,Downtown Clinic
6168658,Southside Family Clinic
6169052,Main Campus
6169664,Southside Family Clinic
6171706,Riverside Health Complex
6173792,Main Campus
6174757,Southside Family Clinic
6178828,Northside Specialty Clinic
6182438,Northside Specialty Clinic
6183282,Downtown Clinic
6192825,Riverside Health Complex
6193181,Downtown Clinic
6195849,Southside Family Clinic
6198697,Riverside Health Complex
6199256,Westside Medical Center
6203012,Main Campus
6204471,Riverside Health Complex
6205262,Northside Specialty Clinic
6206568,Westside Medical Center
6210140,Riverside Health Complex
6213349,Riverside Health Complex
6213801,Riverside Health Complex
6214940,Northside Specialty Clinic
6219123,Westside Medical Center
6219383,Southside Family Clinic
6221233,Main Campus
6223968,Main Campus
6225445,Riverside Health Complex
6228694,Riverside Health Complex
6230235,Southside Family Clinic
6233054,Downtown Clinic
6235178,Downtown Clinic
6235669,Downtown Clinic
6239176,Downtown Clinic
6240354,Southside Family Clinic
6241201,Main Campus
6250707,Westside Medical Center
6257100,Westside Medical Center
6259591,Northside Specialty Clinic
6259923,Westside Medical Center
6260213,Northside Specialty Clinic
6260216,Northside Specialty Clinic
6260411,Westside Medical Center
6261071,Westside Medical Center
6261150,Westside Medical Center
6261460,Main Campus
6262277,Northside Specialty Clinic
6263243,Southside Family Clinic
6268679,Southside Family Clinic
6268881,Downtown Clinic
6269038,Southside Family Clinic
6269463,Northside Specialty Clinic
6277438,Southside Family Clinic
6279056,Southside Family Clinic
6280184,Southside Family Clinic
6280490,Northside Specialty Clinic
6281824,Northside Specialty Clinic
6282762,Main Campus
6285852,Downtown Clinic
6286364,Southside Family Clinic
6288693,Westside Medical Center
6290078,Northside Specialty Clinic
6290744,Northside Specialty Clinic
6290961,Main Campus
6292630,Main Campus
6292862,Southside Family Clinic
6292920,Westside Medical Center
6294565,Northside Specialty Clinic
6296422,Westside Medical Center
6298720,Downtown Clinic
6305071,Downtown Clinic
6305354,Riverside Health Complex
6311566,Downtown Clinic
6313366,Downtown Clinic
6313999,Downtown Clinic
6314141,Main Campus
6317429,Downtown Clinic
6318054,Riverside Health Complex
6318426,Downtown Clinic
6319709,Main Campus
6319875,Downtown Clinic
6322165,Southside Family Clinic
6327027,Riverside Health Complex
6327176,Riverside Health Complex
6327970,Downtown Clinic
6328360,Northside Specialty Clinic
6331288,Riverside Health Complex
6331960,Downtown Clinic
6337979,Southside Family Clinic
6340776,Riverside Health Complex
6344819,Main Campus
6345161,Riverside Health Complex
6346261,Westside Medical Center
6346999,Riverside Health Complex
6348383,Downtown Clinic
6355672,Northside Specialty Clinic
6356780,Riverside Health Complex
6361120,Main Campus
6362248,Southside Family Clinic
6362449,Main Campus
6368327,Southside Family Clinic
6369386,Riverside Health Complex
6371515,Riverside Health Complex
6373975,Northside Specialty Clinic
6377059,Southside Family Clinic
6378568,Westside Medical Center
6379279,Westside Medical Center
6382896,Westside Medical Center
6383416,Downtown Clinic
6383780,Downtown Clinic
6384812,Northside Specialty Clinic
6388615,Westside Medical Center
6388940,Southside Family Clinic
6390830,Westside Medical Center
6390859,Southside Family Clinic
6391682,Westside Medical Center
6393788,Riverside Health Complex
6394936,Downtown Clinic
6398627,Southside Family Clinic
6399718,Riverside Health Complex
6399970,Westside Medical Center
6409575,Downtown Clinic
6410741,Main Campus
6414551,Westside Medical Center
6418312,Northside Specialty Clinic
6419636,Downtown Clinic
6420816,Westside Medical Center
6421712,Downtown Clinic
6427956,Downtown Clinic
6428644,Northside Specialty Clinic
6428854,Northside Specialty Clinic
6437958,Riverside Health Complex
6438526,Downtown Clinic
6438763,Southside Family Clinic
6440002,Riverside Health Complex
6442752,Main Campus
6443799,Southside Family Clinic
6445065,Main Campus
6445329,Northside Specialty Clinic
6445545,Downtown Clinic
6450044,Southside Family Clinic
6452614,Downtown Clinic
6454905,Northside Specialty Clinic
6456858,Downtown Clinic
6462724,Northside Specialty Clinic
6466185,Westside Medical Center
6466633,Westside Medical Center
6466677,Downtown Clinic
6467886,Main Campus
6469459,Westside Medical Center
6471935,Downtown Clinic
6472095,Southside Family Clinic
6472419,Riverside Health Complex
6472483,Downtown Clinic
6479686,Downtown Clinic
6481503,Main Campus
6485129,Northside Specialty Clinic
6485515,Westside Medical Center
6486114,Westside Medical Center
6486808,Westside Medical Center
6487056,Riverside Health Complex
6487951,Riverside Health Complex
6492609,Downtown Clinic
6493987,Main Campus
6494291,Riverside Health Complex
6495951,Riverside Health Complex
6497226,Downtown Clinic
6497693,Northside Specialty Clinic
6498591,Main Campus
6498768,Northside Specialty Clinic
6501430,Southside Family Clinic
6501439,Riverside Health Complex
6505939,Westside Medical Center
6505961,Main Campus
6509215,Westside Medical Center
